Text Passage,Image ROI
3.63.9,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.4346,0.9130,0.03092"
3.63.10,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.4561,0.9130,0.03092"
3.63.11,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.4743,0.9130,0.03092"
3.63.12,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.4953,0.9130,0.03092"
3.63.13,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.5168,0.9130,0.03092"
3.63.14,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.5395,0.9130,0.03092"
3.63.15,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.5605,0.9130,0.03092"
3.63.16,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.5820,0.9130,0.03092"
3.63.17,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.6019,0.9130,0.03092"
3.63.18,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.6234,0.9130,0.03092"
3.63.19,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.6422,0.9130,0.03092"
3.63.20,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.6665,0.9130,0.03092"
3.63.21,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.6864,0.9130,0.05080"
3.63.22,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.1572,0.7289,0.4214,0.03258"
3.63.33,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.07233,0.7499,0.6216,0.03258"
3.63.34,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.1604,0.7736,0.4623,0.03258"
3.63.35,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.07862,0.7929,0.5744,0.03258"
3.63.36,"urn:cite2:fufolio:camerarius1668.2020a:03_00127@0.001048,0.8073,0.8941,0.08393"
2.12.0,"urn:cite2:fufolio:camerarius1668.2020a:02_00024@0.1268,0.1431,0.8281,0.04600"
2.12.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00025@0.02411,0.1906,0.8417,0.1375"
2.12.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00025@0.02411,0.1906,0.8417,0.1375"
2.12.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00025@0.03145,0.4333,0.8187,0.1300"
2.12.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00025@0.02725,0.5598,0.8312,0.0883"
2.12.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00025@0.02725,0.6464,0.8354,0.08723"
2.41.0,"urn:cite2:fufolio:camerarius1668.2020a:02_00082@0.1373,0.1397,0.8417,0.08199"
2.41.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.02725,0.1389,0.8333,0.1569"
2.41.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.05556,0.2475,0.7851,0.02557"
2.41.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.05975,0.2684,0.2851,0.02092"
2.41.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.2275,0.2905,0.4864,0.02847"
2.41.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.3260,0.3114,0.2149,0.02324"
2.41.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00083@0.2694,0.3329,0.3931,0.02499"
